데이터키,25-Jan,25-Feb,25-Mar,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,25-Oct,25-Nov,25-Dec,26-Jan,,,,,
카드_실판매출_값,"1,336","1,246","1,817","1,633","1,696","1,700","1,631","1,590","1,695","1,936","3,003","3,535","1,213",,,,,
카드_실판매출_YOY,83%,78%,99%,83%,90%,122%,136%,92%,98%,115%,159%,155%,90.80%,,,,,
카드_실판매출_매출비중,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,
카드_실판매출_채널_US홀세일_값,89,178,274,210,73,37,63,166,172,202,34,17,6,,,,,
카드_실판매출_채널_US홀세일_YOY,36%,60%,84%,65%,43%,65%,71%,42%,44%,115%,85%,64%,6%,,,,,
카드_실판매출_채널_US홀세일_비중,7%,14%,a,13%,4%,2%,4%,10%,10%,10%,1%,0%,0%,,,,,
카드_실판매출_채널_USEC_값,"1,069",957,"1,373","1,267","1,489","1,559","1,386","1,226","1,396","1,615","2,839","3,327","1,154",,,,,
카드_실판매출_채널_USEC_YOY,93%,99%,83%,80%,81%,93%,123%,96%,99%,85%,174%,170%,108%,,,,,
카드_실판매출_채널_USEC_비중,80%,77%,76%,78%,88%,92%,85%,77%,82%,83%,95%,94%,95%,,,,,
카드_실판매출_채널_EUEC_값,90,65,87,94,83,69,87,42,30,48,54,70,52,,,,,
카드_실판매출_채널_EUEC_YOY,60%,53%,52%,46%,47%,53%,70%,36%,18%,32%,34%,40%,59%,,,,,
카드_실판매출_채널_EUEC_비중,7%,5%,5%,6%,5%,4%,5%,3%,2%,2%,2%,2%,4%,,,,,
카드_실판매출_채널_라이선스_값,89,46,83,62,51,34,96,155,97,70,77,121,0,,,,,
카드_실판매출_채널_라이선스_YOY,156%,47%,146%,59%,22%,61%,80%,150%,106%,70%,125%,107%,0%,,,,,
카드_실판매출_채널_라이선스_비중,7%,4%,5%,4%,3%,2%,6%,10%,6%,4%,3%,3%,0%,,,,,
카드_실판매출_아이템_25FW_값,0,0,0,0,0,0,100,287,421,617,"1,305","1,690",704,,,,,
카드_실판매출_아이템_25FW_YOY,0%,0%,0%,0%,0%,0%,48%,40%,45%,67%,110%,106%,89%,,,,,
카드_실판매출_아이템_25FW_비중,0%,0%,0%,0%,0%,0%,7%,20%,26%,33%,45%,50%,58%,,,,,
카드_실판매출_아이템_25SS_값,201,403,921,"1,002","1,219","1,306",871,797,814,852,"1,054",800,350,,,,,
카드_실판매출_아이템_25SS_YOY,48%,59%,88%,78%,101%,121%,133%,118%,162%,208%,329%,869%,192%,,,,,
카드_실판매출_아이템_25SS_비중,16%,34%,53%,64%,74%,78%,57%,56%,51%,46%,36%,23%,29%,,,,,
카드_실판매출_아이템_FW과시즌_값,870,702,719,475,337,284,485,252,213,220,174,195,88,,,,,
카드_실판매출_아이템_FW과시즌_YOY,128%,104%,125%,105%,94%,142%,291%,186%,226%,201%,371%,674%,629%,,,,,
카드_실판매출_아이템_FW과시즌_비중,70%,59%,41%,30%,20%,17%,32%,18%,13%,12%,6%,6%,7%,,,,,
카드_실판매출_아이템_SS과시즌_값,75,56,67,72,78,71,69,48,62,73,29,19,16,,,,,
카드_실판매출_아이템_SS과시즌_YOY,199%,136%,135%,119%,264%,658%,925%,136%,727%,1063%,454%,14%,320%,,,,,
카드_실판매출_아이템_SS과시즌_비중,6%,5%,4%,5%,5%,4%,5%,3%,4%,4%,1%,1%,1%,,,,,
카드_실판매출_아이템_CORE_값,101,38,26,22,11,4,9,51,87,103,364,711,54,,,,,
카드_실판매출_아이템_CORE_YOY,25%,27%,24%,29%,5%,9%,22%,78%,90%,74%,155%,266%,57%,,,,,
카드_실판매출_아이템_CORE_비중,8%,3%,2%,1%,1%,0%,1%,4%,5%,6%,12%,21%,4%,,,,,
카드_직접이익_값,474,415,688,506,560,563,412,365,274,255,584,95,-21,,,,,
카드_직접이익_YOY,90%,99%,94%,95%,87%,91%,113%,95%,123%,156%,88%,10%,적자,,,,,
카드_직접이익_이익률,35.50%,33.30%,37.90%,31.00%,33.00%,33.10%,25.20%,23.00%,16.20%,13.20%,19.50%,2.70%,적자,,,,,
카드_직접이익_채널_US홀세일_값,38,82,128,94,10,-11,9,66,57,60,-4,-6,-8,,,,,
카드_직접이익_채널_US홀세일_YOY,38%,60%,87%,64%,25%,829%,32%,34%,30%,93%,적자,적자,적자,,,,,
카드_직접이익_채널_US홀세일_이익율,43.00%,46.00%,47.00%,45.00%,14.00%,-30.00%,15.00%,40.00%,33.00%,30.00%,적자,적자,적자,,,,,
카드_직접이익_채널_USEC_값,273,252,381,336,505,524,278,218,119,113,513,-29,-23,,,,,
카드_직접이익_채널_USEC_YOY,72%,68%,86%,78%,157%,147%,150%,87%,39%,26%,86%,적자,적자,,,,,
